date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:57	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202026%2014:18:55%20GMT	https://www.w3school.com.cn/robots.txt		(from )
22:18:57	12776/12776	---M-Z	200	added ('OK')	text/html	etag:%220bf74e152adc1:0%22	https://www.w3school.com.cn/	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/index.html	(from )
22:18:57	69962/69962	---M-Z	200	added ('OK')	text/css	etag:%220a06ae752adc1:0%22	https://www.w3school.com.cn/c1.css?v=2	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/c15e1f.css	(from https://www.w3school.com.cn/)
22:18:57	577/577	---M--	200	added ('OK')	image/png	etag:%22bf6f32d12a3dd51:0%22	https://www.w3school.com.cn/ui2019/logo-16-red.png	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/ui2019/logo-16-red.png	(from https://www.w3school.com.cn/)
22:18:58	1084/1084	---M--	200	added ('OK')	image/png	etag:%22112043d12a3dd51:0%22	https://www.w3school.com.cn/ui2019/logo-32-red.png	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/ui2019/logo-32-red.png	(from https://www.w3school.com.cn/)
22:18:58	1499/1499	---M--	200	added ('OK')	image/png	etag:%22a04bcd12a3dd51:0%22	https://www.w3school.com.cn/ui2019/logo-48-red.png	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/ui2019/logo-48-red.png	(from https://www.w3school.com.cn/)
22:18:58	3039/3039	---M--	200	added ('OK')	image/png	etag:%222bfb1cd12a3dd51:0%22	https://www.w3school.com.cn/ui2019/logo-96-red.png	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/ui2019/logo-96-red.png	(from https://www.w3school.com.cn/)
22:18:58	6041/6041	---M--	200	added ('OK')	image/png	etag:%22cc38f9d02a3dd51:0%22	https://www.w3school.com.cn/ui2019/logo-180.png	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/ui2019/logo-180.png	(from https://www.w3school.com.cn/)
22:18:59	12776/12776	---M-Z	200	added ('OK')	text/html	etag:%220bf74e152adc1:0%22	https://www.w3school.com.cn/index.html	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/index-2.html	(from https://www.w3school.com.cn/)
22:18:59	10375/10375	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202026%2014:18:58%20GMT	https://www.w3school.com.cn/h.asp	C:/Users/Administrator/Desktop/w3school.com.cn/webCopy/www.w3school.com.cn/h.html	(from https://www.w3school.com.cn/)
